sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
nginx - 20 x 100,2000,0,0,6,0.47239787256083193,0.0,1980.19801980198,484.81977103960395,250.71
dUta - 20 x 100,2000,2,0,22,1.9640916475561927,0.0,1647.4464579901153,382.76745263591437,237.916
nginx - 40 x 100,4000,0,0,4,0.390144124010602,0.0,3752.34521575985,918.7016299249531,250.71
dUta - 40 x 100,4000,13,0,92,13.319118204671058,0.0,1683.5016835016836,391.2628893097643,237.988
nginx - 60 x 100,6000,0,0,4,0.36237120317278093,0.0,5565.862708719852,1362.738614621985,250.71483333333333
dUta - 60 x 100,6000,25,0,155,18.152172945377337,0.0,1656.5433462175595,385.0169105466593,238.0
nginx - 80 x 100,8000,0,0,13,0.40055929648430333,0.0,7067.137809187278,1730.2755079505303,250.71
dUta - 80 x 100,8000,37,0,181,27.487218079500153,0.0,1596.169193934557,370.9846368715084,238.0
nginx - 100 x 100,10000,0,0,33,0.8459115556605193,0.0,8417.508417508418,2061.2020267781986,250.7477
dUta - 100 x 100,10000,49,0,216,32.71882122509917,0.0,1593.625498007968,370.3934262948207,238.0
nginx - 120 x 100,12000,0,0,29,1.2828059414164457,0.0,8097.165991902834,1983.2257928475035,250.80666666666667
dUta - 120 x 100,12000,66,0,771,69.80672360465478,0.0,1471.489883507051,342.00643776824035,238.0
nginx - 140 x 100,14000,0,0,67,1.846286504620249,0.0,8997.429305912598,2204.132315432198,250.85292857142858
dUta - 140 x 100,14000,75,0,302,48.378642003702936,0.0,1545.595054095827,359.2301004636785,238.0
nginx - 160 x 100,16000,0,0,82,3.165718934317093,0.0,10069.225928256765,2466.910571703902,250.8749375
dUta - 160 x 100,16000,87,1,320,47.76591696737723,0.0,1547.3887814313346,359.64700193423596,238.0
nginx - 180 x 100,18000,1,0,46,2.744298457655683,0.0,10784.901138406232,2642.8858972438584,250.93555555555557
dUta - 180 x 100,18000,103,0,320,51.69988720657753,0.0,1479.0468364831552,343.76283894823337,238.0
nginx - 200 x 100,20000,0,0,41,2.0713462717517803,0.0,11142.061281337048,2730.416521587744,250.9362
dUta - 200 x 100,20000,114,0,389,64.12957322140853,0.0,1491.201908738443,346.58794363256783,238.0
nging - killer (2000 x 20),40000,1,0,125,4.02614111766776,0.0,8357.709987463435,2048.393507757,250.97245
dUta - killer (2000 x 20),40000,1033,1,3270,482.4416782889903,0.0,1368.7380235422938,318.1246578154941,238.0
TOTAL,300000,166,0,3270,386.14317075588974,0.0,2283.7654725110765,545.1566151645834,244.43857333333332
